,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
84,03/30/2019,Brown,@ Princeton,14-10,1,14,8,22,38,25,1,,33,24,10,16,27,3,180,60:00,10,16,,,,,,26/,31/,0.839,,1,10,8,18,43,26,,,22,16,15,11,27,4,210,60:00,14,11,,,,,,14,15,0.933,,2019
85,04/06/2019,Brown,Penn,9-16,1,9,5,14,39,24,2,,30,10,7,13,29,7,330,60:00,16,14,,,,,,16,18,0.889,,1,16,11,27,61,30,2,,32,14,1,16,29,3,120,60:00,9,15,,,,,,14,17,0.824,,2019
86,04/13/2019,Brown,@ Yale,12-17,1,12,7,19,32,19,1,,21,17,8,7,30,2,120,60:00,17,15,,,,,,22,28,0.786,,1,17,13,30,52,32,1,,38,15,12,23,30,4,210,60:00,12,7,,,,,,18,20,0.900,,2019
87,04/16/2019,Brown,@ Providence,9-7,1,9,9,18,34,18,1,,34,19,8,8,18,5,300,60:00,7,17,,,,,,25,26,0.962,,1,7,5,12,46,24,2,,34,19,11,10,18,4,240,60:00,9,9,,,,,,22,24,0.917,,2019
88,04/20/2019,Brown,Cornell,9-12,1,9,8,17,49,21,1,,30,22,5,12,24,1,60,60:00,12,10,,,,,,16,21,0.762,,1,12,7,19,36,22,,,25,18,4,12,24,2,90,60:00,9,12,,,,,,13,16,0.813,,2019
89,04/23/2019,Brown,@ Bryant,17-7,1,17,13,30,46,29,,,43,16,11,15,28,3,90,60:00,7,6,,,,,,21,24,0.875,,1,7,4,11,22,13,1,,23,22,6,13,28,1,60,60:00,17,12,,,,,,13,21,0.619,,2019
90,04/27/2019,Brown,@ Dartmouth,11-7,1,11,7,18,36,24,1,,46,26,7,20,22,6,270,60:00,7,7,,,,,,19,27,0.704,,1,7,4,11,31,14,2,,26,13,13,2,22,4,210,60:00,11,13,,,,,,19,23,0.826,,2019
91,05/03/2019,Brown,@ Penn,12-13,1,12,4,16,56,28,,,30,8,7,14,29,3,120,60:00,13,10,,,,,,18,18,1.000/,,1,13,7,20,35,23,1,,29,17,6,15,29,3,120,60:00,12,16,,,,,,20,23,0.870,,2019
92,02/10/2019,Bryant,@ Bucknell,6-9,1,6,2,8,27,19,1,,32,27,4,6,19,3,120,60:00,9,16,,,,,,20,26,0.769,,1,9,6,15,45,25,,,35,15,12,13,19,4,150,60:00,6,13,,,,,,20,22,0.909,,2019
93,02/16/2019,Bryant,Providence,11-8,1,11,6,17,30,17,2,,32,21,7,15,23,2,60,60:00,8,15,,,,,,17,18,0.944,,1,8,6,14,37,23,,,26,11,3,8,23,5,270,60:00,11,6,,,,,,14,18,0.778,,2019
94,02/23/2019,Bryant,Dartmouth,6-5,1,6,3,9,38,21,,,32,16,8,8,15,3,150,60:00,5,14,,,,,,15,20,0.750,,1,5,3,8,31,19,,,27,19,8,7,15,4,150,60:00,6,15,,,,,,16,23,0.696,,2019
95,02/26/2019,Bryant,@ Boston U.,9-14,1,9,4,13,29,19,1,,30,27,10,10,25,4,180,60:00,14,10,,,,,,16,27,0.593,,1,14,11,25,40,24,2,,43,24,17,15,25,4,150,60:00,9,10,,,,,,18,22,0.818,,2019
96,03/02/2019,Bryant,Manhattan,8-9,1,8,3,11,30,16,,,35,22,7,12,21,6,270,60:00,9,15,,,,,,18,24,0.750,,1,9,7,16,31,24,2,,30,15,7,9,21,2,60,60:00,8,8,,,,,,19,20,0.950,,2019
97,03/09/2019,Bryant,@ Stony Brook,8-9,1,8,4,12,38,24,,,30,11,7,16,20,3,180,60:00,9,15,,,,,,14,17,0.824,,1,9,6,15,38,24,1,,23,12,8,4,20,5,240,60:00,8,16,,,,,,18,20,0.900,,2019
98,03/12/2019,Bryant,Fairfield,11-12 (1),1,11,6,17,35,19,1,,32,17,3,20,27,,,62:28,12,14,,,,,,14,16,0.875,,1,12,11,23,42,26,,,28,11,12,7,27,2,60,62:28,11,8,,,,,,19,22,0.864,1/,2019
99,03/16/2019,Bryant,@ Mount St. Mary's,7-10,1,7,,7,35,16,2,,29,20,7,14,21,4,150,60:00,10,6,,,,,,12,17,0.706,,1,10,5,15,33,16,1,,23,19,13,7,21,3,120,60:00,7,9,,,,,,21,24,0.875,,2019
100,03/23/2019,Bryant,Saint Joseph's,6-11,1,6,3,9,41,19,,,31,13,8,9,20,7,360,60:00,11,10,,,,,,11,14,0.786,,1,11,7,18,30,21,4/,,33,19,9,11,20,3,120,60:00,6,13,,,,,,15,18,0.833,,2019
101,03/30/2019,Bryant,@ Wagner,13-4,1,13,7,20,42,28,1,,31,11,10,12,21,,,60:00,4,14,,,,,,22,23,0.957,,1,4,1,5,24,18,,,27,18,5,9,21,1,30,60:00,13,15,,,,,,18,22,0.818,,2019
102,04/06/2019,Bryant,Sacred Heart,8-11,1,8,6,14,34,19,1,,27,14,7,12,23,3,120,60:00,11,13,,,,,,16,18,0.889,,1,11,7,18,41,24,2,,25,14,5,11,23,1,30,60:00,8,11,,,,,,22,27,0.815,,2019
103,04/13/2019,Bryant,@ Hobart,11-12,1,11,6,17,38,18,,,24,14,7,10,24,1,60,60:00,12,15,,,,,,20,24,0.833,,1,12,9,21,49,27,1,,25,13,4,14,24,1,60,60:00,11,7,,,,,,18,18,1.000/,,2019
104,04/20/2019,Bryant,Robert Morris,16-20,1,16,12,28,51,28,1,,45,11,7,18,39/,,,60:00,20,9,,,,,,12,15,0.800,,1,20,16/,36,51,29,,,41,15,6,21,39/,1,30,60:00,16,12,,,,,,11,17,0.647,,2019
105,04/23/2019,Bryant,Brown,7-17,1,7,4,11,22,13,1,,23,22,6,13,28,1,60,60:00,17,12,,,,,,13,21,0.619,,1,17,13,30,46,29,,,43,16,11,15,28,3,90,60:00,7,6,,,,,,21,24,0.875,,2019
106,02/02/2019,Bucknell,@ Maryland,6-11,1,6,2,8,32,17,,,22,13,4,8,21,1,30,60:00,11,10,,,,,,18,20,0.900,,1,11,5,16,35,21,,,35,17,4,13,21,2,90,60:00,6,11,,,,,,18,21,0.857,,2019
