,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
72,05/08/2021,Bryant,@ Saint Joseph's,16-10,1,16,7,23,47,27,1,,45,13,6,17,30,4,180,60:00,10,18,,,,,,21,24,0.875,,1,10,4,14,49,28,,,31,15,7,13,30,2,120,60:00,16,11,,,,,,19,23,0.826,,2021
73,05/16/2021,Bryant,@ Virginia,11-13,1,11,6,17,47,29,1,,31,12,5,16,27,2,90,60:00,13,8,,,,,,17,20,0.850,,1,13,9,22,38,21,,,44,11,8,11,27,5,210,60:00,11,18,,,,,,20,21,0.952,,2021
74,03/07/2021,Bucknell,Cleveland St.,15-9,1,15,8,23,41,29,,,38,17,18/,13,25,7,450,60:00,9,8,,,,,,19,25,0.760,,1,9,6,15,32,17,,,34,25,13,12,25,1,30,60:00,15,14,,,,,,19,26,0.731,,2021
75,03/14/2021,Bucknell,Lehigh,6-18,1,6,5,11,38,21,,,20,15,7,10,29,8,390,60:00,18,15,,,,,,15,19,0.789,,1,18,14,32,50,33,2,,52/,16,12,19,29,4,120,60:00,6,15,,,,,,18,21,0.857,,2021
76,03/20/2021,Bucknell,@ Loyola Maryland,10-24,1,10,8,18,37,23,2,,37,15,6,15,37/,6,300,60:00,24/,9,,,,,,10,13,0.769,,1,24/,20/,44/,51,33,3,,44,11,10,22,37/,3,150,60:00,10,13,,,,,,20,22,0.909,,2021
77,03/28/2021,Bucknell,@ Navy,10-13,1,10,5,15,47,27,2,,38,18,6,15,24,3,180,60:00,13,10,,,,,,19,21,0.905,,1,13,11,24,35,23,2,,42,15,11,9,24,7,270,60:00,10,17,,,,,,26,29,0.897,,2021
78,04/03/2021,Bucknell,Colgate,9-10,1,9,5,14,48,27,1,,36,9,8,8,23,1,60,60:00,10,9,,,,,,20,21,0.952,,1,10,6,16,37,19,,,29,14,3,15,23,6,300,60:00,9,18,,,,,,14,23,0.609,,2021
79,04/10/2021,Bucknell,Lafayette,14-6,1,14,9,23,53,30,2,,43,15,16,13,24,8,360,60:00,6,15,,,,,,20,25,0.800,,1,6,3,9,41,21,2,,23,21,7,11,24,2,60,60:00,14,16,,,,,,16,25,0.640,,2021
80,04/16/2021,Bucknell,Robert Morris,7-8,1,7,3,10,31,20,,,29,18,13,9,19,1,60,60:00,8,9,,,,,,22,27,0.815,,1,8,6,14,34,17,,,40,23,12,10,19,2,90,60:00,7,13,,,,,,23,27,0.852,,2021
81,04/24/2021,Bucknell,@ Lehigh,12-18,1,12,9,21,44,24,2,,27,13,8,9,33,6,270,60:00,18,13,,,,,,16,18,0.889,,1,18,16,34,44,31,2,1/,43,14,8,24,33,4,210,60:00,12,12,,,,,,16,21,0.762,,2021
82,03/06/2021,Canisius,@ Siena,8-7,1,8,3,11,30,15,,,31,27/,5,10,19,2,90,60:00,7,12,,,,,,19,24,0.792,,1,7,6,13,31,19,,,33,23,6,9,19,1,30,60:00,8,7,,,,,,19,24,0.792,,2021
83,03/13/2021,Canisius,Manhattan,7-10,1,7,5,12,36,21,2,,32,21,12,15,21,3,120,60:00,10,4,,,,,,15,19,0.789,,1,10,5,15,25,14,,,23,22,9,6,21,6,330,60:00,7,14,,,,,,20,28,0.714,,2021
84,03/20/2021,Canisius,@ Siena,12-10,1,12,9,21,30,25,2,,34,26,5,17,26,4,300,60:00,10,12,,,,,,14,22,0.636,,1,10,6,16,50,22,,,36,13,18/,9,26,3,150,60:00,12,13,,,,,,17,20,0.850,,2021
85,04/02/2021,Canisius,Detroit Mercy,5-13,1,5,3,8,29,19,2,,24,19,7,8,20,3,150,60:00,13,12,,,,,,15,24,0.625,,1,13,8,21,40,25,,,24,21,5,12,20,4,180,60:00,5,14,,,,,,20,26,0.769,,2021
86,04/06/2021,Canisius,St. Bonaventure,11-9,1,11,8,19,43,26,1,,37,19,7,17,24,3,180,59:43,9,9,,,,,,19,24,0.792,,1,9,4,13,32,18,,,26,20,8,7,24,6,270,59:43,11,15,,,,,,18,24,0.750,,2021
87,04/11/2021,Canisius,@ St. Bonaventure,11-12,1,11,3,14,45,26,2,,25,11,9,15,25,6,270,60:00,12,11,,,,,,16,17,0.941,,1,12,8,20,39,23,3,,30,15,7,10,25,5,210,60:00,11,15,,,,,,22,25,0.880,,2021
88,04/17/2021,Canisius,@ Quinnipiac,12-16,1,12,4,16,52,27,1,,19,13,9,10,32/,6,300,60:00,16/,11,,,,,,19,22,0.864,,1,16/,11/,27/,47,27,3,,29,19,9,22,32/,8,330,60:00,12,15,,,,,,14,18,0.778,,2021
89,04/23/2021,Canisius,Monmouth,8-7,1,8,6,14,33,19,2,,23,17,8,6,18,3,120,60:00,7,13,,,,,,25/,28,0.893,,1,7,1,8,41,20,,,35,21,7,12,18,5,300,60:00,8,11,,,,,,18,21,0.857,,2021
90,04/30/2021,Canisius,Marist,14-13,1,14,9,23,42,22,3,,36,23,7,20,30,2,90,60:00,13,14,,,,,,13,18,0.722,,1,13,8,21,46,27,2,,27,17,11,10,30,4,210,60:00,14,8,,,,,,21,29,0.724,,2021
91,05/05/2021,Canisius,@ Manhattan,5-10,1,5,4,9,29,17,1,,24,20,6,7,18,3,120,60:00,10,14,,,,,,18,19,0.947,,1,10,5,15,38,24,,,33,17,10,11,18,4,180,60:00,5,12,,,,,,22,27,0.815,,2021
92,02/28/2021,Cleveland St.,@ Mercer,9-10,1,9,5,14,28,19,1,,26,22,10,8,21,6,210,60:00,10,17,,,,,,15,19,0.789,,1,10,5,15,42,27,1,,24,21,9,13,21,8,330,60:00,9,10,,,,,,15,18,0.833,,2021
93,03/07/2021,Cleveland St.,@ Bucknell,9-15,1,9,6,15,32,17,,,34,25,13,12,25,1,30,60:00,15,14,,,,,,19,26,0.731,,1,15,8,23,41,29,,,38,17,18/,13,25,7,450,60:00,9,8,,,,,,19,25,0.760,,2021
94,03/13/2021,Cleveland St.,@ Bellarmine,8-1,1,8,7,15,30,24,1,,16,13,6,8,12,3,150,60:00,1,17,,,,,,21,22,0.955,,1,1,1,2,39,18,,,22,14,6,4,12,6,300,60:00,8,16,,,,,,19,26,0.731,,2021
95,03/20/2021,Cleveland St.,@ Notre Dame,5-19,1,5,4,9,30,16,1,,24,12,5,6,28,1,60,60:00,19,13,,,,,,17,19,0.895,,1,19,11,30,57,32,1,,41,11,8,22,28,5,240,60:00,5,11,,,,,,20,20,1.000/,,2021
96,03/27/2021,Cleveland St.,@ Marquette,5-10,1,5,2,7,35,14,,,24,21,4,12,19,4,120,60:00,10,7,,,,,,17,19,0.895,,1,10,7,17,33,17,,,22,11,10,7,19,2,90,60:00,5,9,,,,,,21,24,0.875,,2021
97,04/03/2021,Cleveland St.,VMI,16-4,1,16,13,29,52,26,,,39,17,6,15,25,1,30,60:00,4,11,,,,,,23,24,0.958,,1,4,,4,33,15,,,15,17,8,10,25,3,90,60:00,16,10,,,,,,15,21,0.714,,2021
98,04/10/2021,Cleveland St.,@ Robert Morris,7-15,1,7,2,9,31,17,,,25,30/,6,10,24,2,90,60:00,15,17,,,,,,20,28,0.714,,1,15,7,22,53,32,,,38,16,14,14,24,1,60,60:00,7,10,,,,,,20,23,0.870,,2021
99,04/17/2021,Cleveland St.,@ Bellarmine,4-11,1,4,4,8,16,7,,,23,27,12,8,19,1,60,60:00,11,5,,,,,,18,24,0.750,,1,11,8,19,27,16,,,26,23,17,11,19,2,90,60:00,4,3,,,,,,21,23,0.913,,2021
100,04/24/2021,Cleveland St.,Utah,9-11,1,9,6,15,42,24,2,,37,15,15/,8,22,3,90,59:15,11,7,,,,,,24,25,0.960,,1,11,5,16,32,18,1,,25,24,5,14,22,4,120,59:15,9,15,,,,,,17,25,0.680,,2021
101,05/01/2021,Cleveland St.,@ VMI,14-11,1,14,3,17,31,21,,,35,27,7,20,29,2,60,60:00,11,7,,,,,,31/,38/,0.816,,1,11,7,18,41,18,1,,29,16,17,9,29,2,60,60:00,14,7,,,,,,20,24,0.833,,2021
102,02/21/2021,Colgate,Robert Morris,14-17,1,14,13,27,42,28,1,,29,19,4,16,36,3,120,60:00,17,17,,,,,,18,21,0.857,,1,17,10,27,48,34/,1,,42,12,7,20,36,4,180,60:00,14,14,,,,,,15,17,0.882,,2021
103,02/27/2021,Colgate,@ UAlbany,9-15,1,9,5,14,27,19,1,,23,20,5,13,27,2,150,60:00,15,7,,,,,,14,15,0.933,,1,15,12,27,32,22,1,,37,18,8,14,27,5,270,60:00,9,10,,,,,,17,20,0.850,,2021
104,03/06/2021,Colgate,Holy Cross,12-11 (1),1,12,7,19,40,24,,,31,19,5,20,27,2,60,64:00,11,9,,,,,,12,19,0.632,1/,1,11,5,16,37,20,,,19,17,6,7,27,,,64:00,12,12,,,,,,18,23,0.783,,2021
105,03/20/2021,Colgate,@ Boston U.,11-16,1,11,4,15,28,22,1,,31,21,5,15,28,4,180,60:00,16,15,,,,,,20,27,0.741,,1,16,7,23,50,31,1,,34,13,9,13,28,2,180,60:00,11,11,,,,,,23,23,1.000/,,2021
106,03/28/2021,Colgate,Lehigh,10-15,1,10,3,13,35,19,2,,29,19,7,9,29,2,60,60:00,15,13,,,,,,12,16,0.750,,1,15,5,20,41,28,1,,29,14,3,20,29,3,180,60:00,10,9,,,,,,13,17,0.765,,2021
107,04/03/2021,Colgate,@ Bucknell,10-9,1,10,6,16,37,19,,,29,14,3,15,23,6,300,60:00,9,18,,,,,,14,23,0.609,,1,9,5,14,48,27,1,,36,9,8,8,23,1,60,60:00,10,9,,,,,,20,21,0.952,,2021
108,04/10/2021,Colgate,Boston U.,10-14,1,10,7,17,43,23,4,,26,14,5,15,27,2,120,60:00,14,10,,,,,,13,16,0.813,,1,14,9,23,39,24,1,,22,17,6,12,27,9/,630/,60:00,10,13,,,,,,21,22,0.955,,2021
109,04/30/2021,Colgate,@ Army West Point,11-13,1,11,6,17,39,24,3,,39,19,5,13,28,,,60:00,13,13,,,,,,12,21,0.571,,1,13,6,19,39,26,,,40,11,17,15,28,4,180,60:00,11,13,,,,,,14,18,0.778,,2021
110,05/04/2021,Colgate,@ Boston U.,11-8,1,11,5,16,38,23,1,,51,20,10,16,22,1,60,60:00,8,13,,,,,,17,23,0.739,,1,8,4,12,40,21,,,27,17,12,6,22,6,240,60:00,11,12,,,,,,22,24,0.917,,2021
111,05/07/2021,Colgate,@ Lehigh,9-13,1,9,7,16,35,18,,,36,16,9,8,26,1,60,60:00,13,8,,,,,,16,17,0.941,,1,13,8,21,38,21,1,,47,23,8,18,26,1,60,60:00,9,9,,,,,,20,26,0.769,,2021
112,04/25/2021,Dartmouth,Tufts,9-15 *,1,9,7,16,37,20,,,34,26/,10/,18,28,5,240,60:00/,15/,20/,,,,,,19/,27/,0.704,,1,15,14,29,74,35,2,,34,14,15,10,28,4,180,60:00,9,11,,,,,,23,25,0.920,,2021
113,*Contest exempted and does not count toward season record or statistics for Dartmouth only.,Dartmouth,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,02/17/2021,Delaware,@ Mount St. Mary's,7-10,1,7,3,10,25,17,1,,18,17,5,8,21,,,60:00,10,17,,,,,,19,23,0.826,,1,10,4,14,39,27,,,34,12,10,13,21,3,180,60:00,7,10,,,,,,21,22,0.955,,2021
115,02/20/2021,Delaware,@ NJIT,15-4,1,15,8,23,53,35/,2,,35,15,9,11,23,2,60,60:00,4,9,,,,,,24/,25,0.960,,1,4,2,6,45,13,1,,24,11,7,12,23,7,360,60:00,15,20,,,,,,18,18,1.000/,,2021
116,02/23/2021,Delaware,Saint Joseph's,16-13,1,16,9,25,39,22,,1,35,13,9,11,33,8,300,60:00,13,16,,,,,,17,22,0.773,,1,13,6,19,54,29,2,,35,17,8,22,33,2,90,60:00,16,6,,,,,,9,13,0.692,,2021
117,02/28/2021,Delaware,Bellarmine,14-11,1,14,8,22,42,23,,,44/,23,10,21,29,1,30,60:00,11,9,,,,,,14,17,0.824,,1,11,2,13,27,20,,,31,21,13,8,29,5,150,60:00,14,9,,,,,,25,28,0.893,,2021
118,03/06/2021,Delaware,@ Fairfield,17-9,1,17,14,31,53,32,4/,,39,11,11,15,30,4,120,60:00,9,9,,,,,,13,15,0.867,,1,9,5,14,27,18,3,,33,22,4,15,30,9/,390,60:00,17,15,,,,,,17,24,0.708,,2021
119,03/13/2021,Delaware,@ Drexel,19-12,1,19,8,27,49,25,1,,29,16,8,14,34,2,90,60:00,12,11,,,,,,19,22,0.864,,1,12,7,19,37,23,1,,34,16,6,20,34,2,90,60:00,19,6,,,,,,17,19,0.895,,2021
120,03/20/2021,Delaware,Towson,13-12 (1),1,13,5,18,41,25,1,,28,19,8,14,28,2,120,61:19,12,11,,,,,,23,24,0.958,1/,1,12,8,20,37,23,,,37,14,15,14,28,2,90,61:19,13,12,,,,,,17,21,0.810,,2021
121,04/02/2021,Delaware,Fairfield,16-11,1,16,11,27,54,32,1,,41,21,9,17,30,5,180,60:00,11,13,,,,,,23,26,0.885,,1,11,6,17,39,24,1,,32,20,8,13,30,2,120,60:00,16,16,,,,,,19,23,0.826,,2021
122,04/10/2021,Delaware,Drexel,9-12,1,9,7,16,40,21,1,,35,12,3,14,25,4,180,60:00,12,14,,,,,,18,19,0.947,,1,12,5,17,40,26,1,,34,12,7,11,25,3,180,60:00,9,12,,,,,,21,22,0.955,,2021
123,04/17/2021,Delaware,@ Hofstra,14-13 (1),1,14,9,23,43,27,1,,29,11,5,12,29,4,120,64:00/,13,12,,,,,,16,19,0.842,1/,1,13,5,18,46,25,1,,33,11,7,17,29,7,330,64:00/,14,13,,,,,,18,18,1.000/,,2021
124,04/24/2021,Delaware,@ Towson,16-8,1,16,10,26,32,23,,,38,10,7,16,24,4,150,60:00,8,13,,,,,,19,20,0.950,,1,8,3,11,35,21,1,,24,14,7,8,24,1,60,60:00,16,7,,,,,,16,16,1.000/,,2021
125,04/30/2021,Delaware,Massachusetts,9-6,1,9,3,12,43,23,1,,37,18,11,7,17,2,60,60:00,6,13,,,,,,20,21,0.952,,1,6,3,9,32,19,,,29,17,8,10,17,8,420/,60:00,9,14,,,,,,18,19,0.947,,2021
126,05/06/2021,Delaware,@ Hofstra,9-10,1,9,5,14,45,20,,,38,10,4,13,23,1,60,60:00,10,7,,,,,,14,15,0.933,,1,10,,10,31,17,,,22,12,3,10,23,2,60,60:00,9,11,,,,,,19,22,0.864,,2021
127,01/30/2021,Denver,Utah,9-8,1,9,6,15,49,25,1,1/,27,13,8,8,20,3,150,60:00,8,11,,,,,,23,24,0.958,,1,8,4,12,36,19,1,,22,16,5,12,20,8/,300,60:00,9,16,,,,,,19,21,0.905,,2021
128,02/05/2021,Denver,@ Duke,10-12,1,10,5,15,45,24,1,,30,15,3,19,25,3,180,60:00,12,7,,,,,,13,16,0.813,,1,12,4,16,30,19,1,,17,11,6,6,25,7,330,60:00,10,14,,,,,,20,21,0.952,,2021
129,02/07/2021,Denver,@ North Carolina,13-24,1,13,4,17,42,26,1,,30,15,,18,40/,2,90,60:00,24/,10,,,,,,14,16,0.875,,1,24,15,39,53,34,,2/,33,9,11,22,40,7,300,60:00,13,13,,,,,,20,23,0.870,,2021
130,02/13/2021,Denver,@ Air Force,15-6,1,15,12,27,58,32,1,,37,18,10,18,24,1,30,60:00,6,11,,,,,,17,20,0.850,,1,6,4,10,35,17,,,20,17,7,6,24,2,90,60:00,15,17,,,,,,12,21,0.571,,2021
131,02/20/2021,Denver,@ Marquette,10-9,1,10,6,16,49,25,2,,27,17,8,13,22,2,90,60:00,9,9,,,,,,16,19,0.842,,1,9,5,14,36,18,1,,24,16,10,9,22,2,90,60:00,10,15,,,,,,14,22,0.636,,2021
132,02/27/2021,Denver,Providence,23-10,1,23/,18,41/,48,31,2,,34,11,9,22,36,2,120,60:00,10,11,,,,,,18,22,0.818,,1,10,3,13,42,21,,,25,16,5,14,36,5,180,60:00,23,8,,,,,,11,16,0.688,,2021
133,03/06/2021,Denver,@ St. John's (NY),20-6,1,20,13,33,64/,39,2,,42,18,10,22,29,3,120,60:00,6,15,,,,,,29,32,0.906,,1,6,3,9,27,21,1,,26,17,7,7,29,2,90,60:00,20,19,,,,,,14,22,0.636,,2021
134,03/16/2021,Denver,Georgetown,13-7,1,13,8,21,39,25,1,,23,15,8,13,24,2,120,60:00,7,12,,,,,,18,22,0.818,,1,7,5,12,46,19,,,30,17,7,11,24,5,270,60:00,13,12,,,,,,11,15,0.733,,2021
135,03/27/2021,Denver,@ Providence,19-11,1,19,14,33,63,35,,,46,18,3,27,33,2,90,60:00,11,11,,,,,,16,19,0.842,,1,11,5,16,32,22,,,20,11,3,6,33,4,210,60:00,19,16,,,,,,20,23,0.870,,2021
136,04/03/2021,Denver,Marquette,16-6,1,16,9,25,45,32,1,,32,13,8,19,25,2,120,60:00,6,8,,,,,,23,24,0.958,,1,6,3,9,37,14,,,26,16,8,6,25,4,120,60:00,16,16,,,,,,23,26,0.885,,2021
137,04/10/2021,Denver,Villanova,17-10,1,17,9,26,36,25,3,,36,16,11,18,30,5,240,60:00,10,12,,,,,,16,18,0.889,,1,10,5,15,38,22,3,,27,16,9,12,30,5,240,60:00,17,8,,,,,,9,13,0.692,,2021
138,04/17/2021,Denver,@ Georgetown,10-11 (1),1,10,6,16,36,24,1,,30,14,6,8,24,1,60,62:52,11,15,,,,,,16,19,0.842,,1,11,8,19,48,26,1,,27,13,5,16,24,3,120,62:52,10,14,,,,,,16,18,0.889,1/,2021
139,04/24/2021,Denver,St. John's (NY),19-11,1,19,11,30,57,35,1,,44,14,7,28,33,5,270,60:00,11,4,,,,,,15,16,0.938,,1,11,9,20,33,15,3,,13,13,4,5,33,2,90,60:00,19,16,,,,,,16,21,0.762,,2021
140,04/28/2021,Denver,@ Villanova,11-10 (1),1,11,6,17,36,21,2,,29,17,5,16,27,2,60,61:03,10,20,,,,,,16,21,0.762,1/,1,10,4,14,50,30,1,,21,8,11,11,27,5,150,61:03,11,10,,,,,,19,22,0.864,,2021
141,05/06/2021,Denver,@ Providence,14-5,1,14,10,24,51,28,,,29,10,4,12,22,2,60,60:00,5,14,,,,,,19,21,0.905,,1,5,2,7,38,19,,,30,14,5,10,22,3,150,60:00,14,14,,,,,,18,22,0.818,,2021
142,05/08/2021,Denver,"Georgetown
@ Providence, R.I.",9-10,1,9,4,13,42,24,,,26,14,5,15,23,,,60:00,10,10,,,,,,15,19,0.789,,1,10,7,17,27,20,,,25,15,9,8,23,2,90,60:00,9,15,,,,,,19,26,0.731,,2021
143,05/16/2021,Denver,Loyola Maryland,13-14,1,13,7,20,48,29,2,,37,16,6,23,30,6,330,60:00,14,7,,,,,,18,18,1.000/,,1,14,8,22,36,21,3,,22,12,8,7,30,5,180,60:00,13,16,,,,,,23,24,0.958,,2021
144,03/06/2021,Detroit Mercy,@ Marist,11-15,1,11,5,16,44,25,3,,28,15,12,15,28,6,240,60:00,15,9,,,,,,16,18,0.889,,1,15,9,24,44,24,3,,32,16,5,13,28,8,330,60:00,11,14,,,,,,19,21,0.905,,2021
145,03/13/2021,Detroit Mercy,St. Bonaventure,11-7,1,11,6,17,48,25,4/,,38,17,12,15,21,5,300,60:00,7,14,,,,,,16,20,0.800,,1,7,5,12,38,21,3,,18,18,7,6,21,8,420,60:00,11,14,,,,,,17,21,0.810,,2021
146,03/20/2021,Detroit Mercy,@ Manhattan,7-11,1,7,3,10,40,22,,,30,23,7,15,21,2,90,60:00,11,9,,,,,,12,14,0.857,,1,11,7,18,38,20,1,,23,21,6,6,21,2,60,60:00,7,15,,,,,,16,19,0.842,,2021
147,03/27/2021,Detroit Mercy,Siena,11-9,1,11,5,16,49,23,,,43,21,11,17,22,3,90,60:00,9,13,,,,,,15,16,0.938,,1,9,6,15,31,22,,,21,19,8,5,22,3,180,60:00,11,12,,,,,,19,23,0.826,,2021
148,04/02/2021,Detroit Mercy,@ Canisius,13-5,1,13,8,21,40,25,,,24,21,5,12,20,4,180,60:00,5,14,,,,,,20,26,0.769,,1,5,3,8,29,19,2,,24,19,7,8,20,3,150,60:00,13,12,,,,,,15,24,0.625,,2021
149,04/09/2021,Detroit Mercy,@ Monmouth,7-9,1,7,4,11,32,21,1,,36,17,11,8,19,4,150,60:00,9,11,,,,,,17,20,0.850,,1,9,4,13,26,20,3,,26,19,7,11,19,3,210,60:00,7,14,,,,,,20,24,0.833,,2021
150,04/30/2021,Detroit Mercy,@ St. Bonaventure,8-11,1,8,4,12,40,20,1,,27,18,7,10,22,3,150,60:00,11,10,,,,,,20,25,0.800,,1,11,6,17,30,21,1,,29,20,7,12,22,5,210,60:00,8,12,,,,,,24,30/,0.800,,2021
151,03/06/2021,Drexel,Towson,12-10,1,12,8,20,43,24,2,,21,16,11,6,26,4,150,60:00,10,12,,,,,,20,20,1.000/,,1,10,4,14,36,22,1,,27,19,7,20,26,4,180,60:00,12,12,,,,,,14,14,1.000/,,2021
152,03/13/2021,Drexel,Delaware,12-19,1,12,7,19,37,23,1,,34,16,6,20,34,2,90,60:00,19,6,,,,,,17,19,0.895,,1,19,8,27,49,25,1,,29,16,8,14,34,2,90,60:00,12,11,,,,,,19,22,0.864,,2021
153,03/20/2021,Drexel,@ Massachusetts,7-13,1,7,5,12,50,28,,2/,32,17,8,9,23,4,270,60:00,13,13,,,,,,17,20,0.850,,1,13,10,23,37,26,2,,39,19,9,14,23,5,240,60:00,7,21/,,,,,,18,23,0.783,,2021
154,03/24/2021,Drexel,Lafayette,24-8,1,24/,16/,40/,49,32,1,1,39,19,18/,17,35,5,240,60:00,8,8,,,,,,19,24,0.792,,1,8,5,13,34,16,1,,26,27/,9,18,35,1,60,60:00,24/,8,,,,,,16,19,0.842,,2021
155,03/27/2021,Drexel,Robert Morris,19-13,1,19,10,29,51,33,2,,41,20,7,23,34,3,120,60:00,13,14,,,,,,12,16,0.750,,1,13,5,18,45,27,1,,34,18,9,11,34,7,330/,60:00,19,14,,,,,,17,19,0.895,,2021
156,04/03/2021,Drexel,Massachusetts,12-11,1,12,7,19,38,21,2,,28,14,6,11,26,7,270,60:00,11,8,,,,,,15,18,0.833,,1,11,5,16,36,19,3,,26,21,3,15,26,3,180,60:00,12,9,,,,,,16,18,0.889,,2021
157,04/10/2021,Drexel,@ Delaware,12-9,1,12,5,17,40,26,1,,34,12,7,11,25,3,180,60:00,9,12,,,,,,21,22,0.955,,1,9,7,16,40,21,1,,35,12,3,14,25,4,180,60:00,12,14,,,,,,18,19,0.947,,2021
158,04/17/2021,Drexel,@ Fairfield,19-7,1,19,11,30,60/,32,1,,44/,15,9,17,28,7,270,60:00,7,9,,,,,,20,21,0.952,,1,7,4,11,35,16,1,,19,20,7,11,28,6,300,60:00,19,13,,,,,,13,18,0.722,,2021
159,04/24/2021,Drexel,Hofstra,12-8,1,12,7,19,38,22,,,25,19,9,9,22,2,60,60:00,8,12,,,,,,22,29/,0.759,,1,8,2,10,41,20,1,,24,20,9,13,22,3,150,60:00,12,10,,,,,,19,20,0.950,,2021
160,05/01/2021,Drexel,@ Towson,12-11,1,12,4,16,51,26,2,,31,11,4,14,27,4,150,60:00,11,11,,,,,,18,19,0.947,,1,11,8,19,42,22,1,,29,14,4,13,27,5,210,60:00,12,14,,,,,,22,24,0.917,,2021
161,05/06/2021,Drexel,"Massachusetts
@ Hempstead, NY",13-8,1,13,8,21,48,31,1,,34,13,11,14,25,5,180,60:00,8,10,,,,,,14,17,0.824,,1,8,3,11,31,18,3,,21,22,5,11,25,2,120,60:00,13,18,,,,,,17,18,0.944,,2021
162,05/08/2021,Drexel,@ Hofstra,15-11,1,15,8,23,44,24,1,,33,12,8,12,27,6,330,60:00,11,11,,,,,,20,21,0.952,,1,11,6,17,32,22,2,,31,16,6,15,27,5,180,60:00,15,9,,,,,,13,14,0.929,,2021
163,05/15/2021,Drexel,"Notre Dame
@ Denver, Colo.",8-10,1,8,2,10,42,25,,,34,15,9,7,22,3,150,60:00,10,15,,,,,,17,20,0.850,,1,10,3,13,47,25,,,37,16,4,15,22,2,90,60:00,8,17,,,,,,18,21,0.857,,2021
164,02/05/2021,Duke,Denver,12-10,1,12,4,16,30,19,1,,17,11,6,6,25,7,330,60:00,10,14,,,,,,20,21,0.952,,1,10,5,15,45,24,1,,30,15,3,19,25,3,180,60:00,12,7,,,,,,13,16,0.813,,2021
165,02/07/2021,Duke,Robert Morris,16-12,1,16,11,27,50,31,3,,43,14,11,23,32,8,390,60:00,12,14,,,,,,19,21,0.905,,1,12,7,19,40,26,2,,26,18,8,9,32,7,300,60:00,16,15,,,,,,18,18,1.000/,,2021
166,02/13/2021,Duke,Mercer,17-8,1,17,10,27,35,27,,,36,21,12,13,28,2,90,60:00,8,6,,,,,,22,25,0.880,,1,8,3,11,29,14,,,31,27,8,15,28,3,120,60:00,17,10,,,,,,18,20,0.900,,2021
167,02/20/2021,Duke,@ Towson,19-7,1,19,9,28,50,32,,,41,16,4,23,29,3,120,60:00,7,9,,,,,,17,20,0.850,,1,7,5,12,28,16,2,,26,16,6,6,29,2,90,60:00,19,13,,,,,,12,16,0.750,,2021
168,02/27/2021,Duke,Air Force,17-7,1,17,13,30,42,29,5/,,32,15,8,17,27,5,240,60:00,7,9,,,,,,15,16,0.938,,1,7,5,12,24,16,1,,19,22,7,10,27,4,330,60:00,17,12,,,,,,15,21,0.714,,2021
169,03/07/2021,Duke,@ Richmond,13-6,1,13,6,19,34,21,,,24,15,2,12,23,1,30,60:00,6,15,,,,,,23,27,0.852,,1,6,4,10,39,21,,,23,11,6,11,23,1,30,60:00,13,8,,,,,,16,16,1.000/,,2021
170,03/10/2021,Duke,High Point,27-8,1,27/,13,40/,51,32,2,,42,15,8,24,39,,,60:00,8,12,,,,,,16,22,0.727,,1,8,3,11,38,20,,,23,17,3,15,39,3,150,60:00,27/,5,,,,,,13,15,0.867,,2021
171,03/14/2021,Duke,@ Jacksonville,17-6,1,17,14,31,48,35,2,,38,11,5,17,27,6,270,60:00,6,5,,,,,,14,16,0.875,,1,6,4,10,23,11,3,,25,23,5,10,27,6,300,60:00,17,18,,,,,,14,19,0.737,,2021
172,03/25/2021,Duke,Syracuse,15-14,1,15,8,23,41,28,2,,31,16,6,24,32,4,180,60:00,14,10,,,,,,13,17,0.765,,1,14,9,23,36,24,2,,15,16,5,8,32,3,90,60:00,15,13,,,,,,18,21,0.857,,2021
173,04/01/2021,Duke,North Carolina,12-11 (1),1,12,6,18,51,26,1,,38,16,6,15,25,5,240,63:13,11,17,,,,,,21,25,0.840,1/,1,11,6,17,46,28,1,,34,13,9,10,25,5,270,63:13,12,14,,,,,,22,24,0.917,,2021
174,04/10/2021,Duke,@ Notre Dame,8-13,1,8,6,14,36,20,1,,25,22,3,16,23,4,150,60:00,13,11,,,,,,21,29,0.724,,1,13,6,19,44,24,2,,22,12,9,7,23,1,60,60:00,8,12,,,,,,19,19,1.000/,,2021
175,04/15/2021,Duke,@ Virginia,13-12 (1),1,13,6,19,50,29,1,,25,14,4,9,27,1,60,63:28,12,16,,,,,,24,27,0.889,1/,1,12,5,17,49,28,1,,42,10,10,18,27,4,210,63:28,13,16,,,,,,18,19,0.947,,2021
