,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
26,04132019,army west point, navy,9-8 ,1,9,5,14,48,27,1,29,17,7,6,20,4,8,9,1,0,0.739,8,3,11,35,17,1,28,22,9,14,20,4,18,0.857,2019,0.0,1.0,Navy,1.0,121.67859273414838
27,04202019,army west point,loyola maryland,9-13,1,9,7,16,44,21,1,27,11,9,8,26,6,13,10,0,1,1.0,13,8,21,45,23,1,33,17,6,18,26,3,12,0.714,2019,1.0,0.0,Army West Point,0.0,0.0
28,04262019,army west point, njit,19-6,1,19,12,31,52,32,1,34,15,4,18,29,4,6,13,1,0,0.9,6,3,9,37,19,2,25,19,3,11,29,1,13,0.833,2019,0.0,1.0,NJIT,0.0,46.3429508569668
29,04302019,army west point,holy cross,14-5,1,14,11,25,26,19,0,20,14,7,3,23,6,5,14,1,0,0.909,5,2,7,39,19,1,36,17,10,20,23,5,5,0.867,2019,1.0,0.0,Army West Point,0.0,0.0
30,05032019,army west point, loyola maryland,7-5,1,7,3,10,41,21,1,26,14,5,5,16,4,5,13,1,0,0.88,5,4,9,41,18,2,29,14,7,11,16,2,14,0.952,2019,0.0,1.0,Loyola Maryland,0.0,198.89175897595922
31,05052019,army west point,lehigh,11-7,1,11,8,19,43,25,1,26,10,8,4,22,3,7,12,1,0,0.826,7,6,13,38,19,1,37,16,7,18,22,5,14,0.950,2019,0.0,1.0,Baltimore Md,0.0,229.90728679859419
32,05112019,army west point, penn,8-13,1,8,3,11,32,17,0,27,12,9,3,25,1,13,6,0,1,0.92,13,6,19,35,19,0,35,23,4,22,25,1,9,0.889,2019,0.0,1.0,Penn,0.0,207.47481277545623
33,02022019,bellarmine,wagner,6-7 ,1,6,3,9,43,22,0,31,19,11,12,17,2,7,13,0,1,0.885,7,3,10,33,20,0,21,19,11,5,17,0,16,0.828,2019,1.0,0.0,Bellarmine,1.0,0.0
34,02092019,bellarmine, marquette,9-15,1,9,6,15,31,17,2,16,16,5,9,28,2,15,11,0,1,0.944,15,10,25,47,26,1,35,13,11,19,28,4,8,0.789,2019,0.0,1.0,Marquette,0.0,352.5399055736818
35,02162019,bellarmine, cleveland st,8-17,1,8,4,12,25,13,2,22,20,8,3,28,5,17,18,0,1,0.7,17,13,30,46,35,3,39,23,9,25,28,4,5,0.923,2019,0.0,1.0,Cleveland St,0.0,440.5294175989124
