,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT
27,05052018,army west point, notre dame,5-17,1,5,3,8,23,12,1,21,9,4,6,27,3,17,8,0,1,0.812,17,10,27,36,25,1,29,11,4,21,27,3,7,1.000,2018,0.0,1.0,Notre Dame,0.0
28,02092018,bellarmine,robert morris,7-15,1,7,5,12,39,16,0,16,14,7,13,25,1,15,11,0,1,0.933,15,10,25,35,26,1,25,14,10,12,25,3,9,0.938,2018,1.0,0.0,Bellarmine,0.0
29,02132018,bellarmine, michigan,7-9,1,7,4,11,32,17,0,19,16,9,9,20,0,9,6,0,1,0.706,9,5,14,36,15,0,26,17,12,11,20,2,10,0.864,2018,0.0,1.0,Michigan,0.0
30,02172018,bellarmine,cleveland st,13-9,1,13,10,23,32,19,3,28,19,9,14,23,8,9,12,1,0,0.824,9,5,14,35,21,1,17,13,7,9,23,4,6,0.812,2018,1.0,0.0,Bellarmine,0.0
31,02242018,bellarmine,manhattan,9-10,1,9,5,14,49,25,2,23,12,3,15,23,2,10,9,0,1,0.714,10,5,15,32,19,1,25,11,2,8,23,3,16,0.857,2018,0.0,1.0,Chester PA,0.0
32,03022018,bellarmine,detroit mercy,5-11,1,5,2,7,26,19,2,25,20,7,12,20,4,11,13,0,1,0.619,11,6,17,35,24,0,37,18,12,8,20,5,14,1.000,2018,0.0,1.0,Pontiac Mich,0.0
33,03042018,bellarmine,marquette,7-6 ,1,7,2,9,23,14,0,25,13,5,4,16,6,6,13,1,0,0.909,6,4,10,31,19,1,31,13,7,12,16,3,7,0.842,2018,0.0,1.0,Pontiac Mich,1.0
34,03172018,bellarmine, high point,7-15,1,7,5,12,28,19,2,24,18,7,11,26,3,15,17,0,1,0.75,15,9,24,42,32,1,37,15,11,15,26,5,12,0.938,2018,0.0,1.0,High Point,0.0
35,03242018,bellarmine, jacksonville,5-9,1,5,3,8,31,14,0,25,19,10,4,16,3,9,17,0,1,0.815,9,5,14,41,26,0,31,16,11,12,16,3,9,0.917,2018,0.0,1.0,Jacksonville,0.0
36,03312018,bellarmine,air force,7-9,1,7,5,12,23,13,1,14,13,6,8,19,0,9,12,0,1,0.583,9,5,14,31,21,0,14,9,3,11,19,4,6,0.909,2018,1.0,0.0,Bellarmine,0.0
37,04072018,bellarmine, richmond,6-8,1,6,2,8,33,15,1,15,11,4,9,17,3,8,13,0,1,0.824,8,5,13,38,21,0,22,8,7,8,17,4,9,0.938,2018,0.0,1.0,Richmond,0.0
38,04142018,bellarmine,mercer,12-6,1,12,9,21,40,21,1,19,10,15,7,20,2,6,11,1,0,0.706,6,1,7,31,17,0,25,18,3,13,20,3,9,0.692,2018,1.0,0.0,Bellarmine,0.0
39,04212018,bellarmine, vmi,10-7,1,10,3,13,29,18,0,24,15,8,8,21,0,7,7,1,0,0.905,7,6,13,34,14,0,27,14,11,13,21,1,8,0.950,2018,0.0,1.0,VMI,0.0
40,04282018,bellarmine,furman,7-8,1,7,5,12,38,22,2,31,13,6,15,19,7,8,10,0,1,0.895,8,5,13,28,18,3,23,16,6,4,19,5,15,0.850,2018,1.0,0.0,Bellarmine,0.0
41,02102018,binghamton, syracuse,4-21,1,4,2,6,19,10,2,13,10,5,5,29,2,21,11,0,1,0.917,21,13,34,53,32,1,43,9,5,24,29,4,6,1.000,2018,0.0,1.0,Syracuse,0.0
42,02132018,binghamton, colgate,7-21,1,7,3,10,21,14,0,15,14,4,6,29,8,21,13,0,1,0.625,21,11,32,44,34,2,38,13,4,23,29,4,7,0.909,2018,0.0,1.0,Colgate,0.0
43,02202018,binghamton,canisius,10-12,1,10,2,12,37,18,0,25,11,9,18,25,4,12,7,0,1,0.8,12,8,20,31,19,1,20,12,8,7,25,2,8,0.875,2018,1.0,0.0,Binghamton,0.0
