,Id,Institution,Conference,Games,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Pct,Pen,Goals Allowed,Saves,Clear Pct,Year
61,30,syracuse,ACC,14,180,97,277,613,369,24,514,198,124,57.0,52,142,187,0.853,2019
62,142,towson,CAA,16,203,104,307,680,379,26,548,272,112,69.0,78,173,186,0.82,2019
63,253,ualbany,America East,14,148,92,240,556,317,18,393,208,100,44.0,46,163,172,0.863,2019
64,912,umass lowell,America East,14,138,90,228,530,286,19,432,292,106,59.0,54,165,164,0.799,2019
65,399,umbc,America East,16,189,94,283,611,366,15,421,241,120,40.0,33,199,133,0.857,2019
66,574,utah,DI Independent,15,138,89,227,481,298,19,388,260,103,33.0,45,197,189,0.814,2019
67,313,vermont,America East,15,173,103,276,576,346,13,437,241,97,52.0,74,150,189,0.847,2019
68,432,villanova,Big East,15,170,102,272,613,353,21,436,222,111,50.0,46,176,175,0.87,2019
69,978,virginia,ACC,20,282,172,454,908,514,25,831,312,186,58.0,88,205,230,0.82,2019
70,197,vmi,SoCon,13,128,66,194,556,293,8,420,243,138,38.0,45,188,174,0.862,2019
71,260,wagner,NEC,14,104,54,158,465,261,13,375,265,121,46.0,34,169,197,0.757,2019
72,65,yale,Ivy League,19,296,177,473,1001,585,31,755,296,137,76.0,71,216,194,0.835,2019
