,Institution,Conference,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,RC,YC,Clears,Att,Clear Pct,OTG,Year
45,Notre Dame,ACC,16,184,86,270,607,347,27,,478,273,111,229,395,48,"2,130",963:33,162,160,,,263,302,0.871,1,2019
46,Ohio St.,Big Ten,12,141,71,212,462,278,10,,384,182,59,190,307,52,"2,460",721:23,129,129,,,190,213,0.892,1,2019
47,Penn,Ivy League,16,239,134,373,742,433,23,1,508,259,92,295,476,47,"2,160",971:38,187,208,,,285,332,0.858,1,2019
48,Penn St.,Big Ten,18,323,195,518,745,513,38,1,651,278,127,337,577,60,"2,760",1080:25,199,209,,2,304,357,0.852,1,2019
49,Princeton,Ivy League,14,195,119,314,637,403,13,,461,202,142,179,397,49,"2,280",840:56,161,171,,,246,286,0.860,,2019
50,Providence,Big East,16,173,96,269,653,382,14,1,444,257,106,188,385,49,"2,370",962:53,160,202,,,297,355,0.837,2,2019
51,Quinnipiac,MAAC,16,185,106,291,645,357,13,1,446,270,98,223,440,69,"3,420",962:24,203,223,,,275,339,0.811,2,2019
52,Richmond,SoCon,17,202,125,327,627,391,14,,465,269,154,157,434,59,"2,760",1022:22,172,218,,,324,374,0.866,,2019
53,Robert Morris,NEC,17,229,150,379,744,459,22,,554,248,149,238,520,50,"2,400",1028:57,232,219,,,295,353,0.836,2,2019
54,Rutgers,Big Ten,15,170,106,276,579,340,11,,465,218,109,168,393,46,"2,250",899:59,174,214,,,284,331,0.858,,2019
55,Sacred Heart,NEC,15,209,103,312,745,433,16,2,541,245,172,176,430,60,"3,030",899:03,171,176,,,289,347,0.833,1,2019
56,Saint Joseph's,NEC,14,139,85,224,538,330,18,1,460,275,120,207,336,44,"2,130",840:43,149,168,,,220,272,0.809,1,2019
57,Siena,MAAC,13,168,99,267,590,344,15,,435,184,109,171,390,45,"2,070",784:00,181,121,,,207,239,0.866,1,2019
58,St. Bonaventure,MAAC,13,81,41,122,331,190,12,,275,258,92,76,316,50,"2,250",780:00,193,211,,,232,303,0.766,,2019
59,St. John's (NY),Big East,14,154,87,241,554,343,22,,419,194,94,171,378,43,"2,040",842:31,179,170,,,222,259,0.857,,2019
60,Stony Brook,America East,15,152,89,241,540,327,16,,404,228,101,180,365,52,"2,730",903:35,163,166,,,242,273,0.886,,2019
61,Syracuse,ACC,14,180,97,277,613,369,24,1,514,198,124,207,366,52,"2,310",845:48,142,187,,,266,312,0.853,1,2019
62,Towson,CAA,16,203,104,307,680,379,26,,548,272,112,293,427,78,"3,420",961:39,173,186,,,260,317,0.820,,2019
63,UAlbany,America East,14,148,92,240,556,317,18,1,393,208,100,157,358,46,"2,100",839:58,163,172,,,246,285,0.863,,2019
64,UMass Lowell,America East,14,138,90,228,530,286,19,1,432,292,106,206,351,54,"2,550",847:03,165,164,,,231,289,0.799,1,2019
65,UMBC,America East,16,189,94,283,611,366,15,,421,241,120,173,442,33,"1,530",968:54,199,133,,,282,329,0.857,,2019
66,Utah,DI Independent,15,138,89,227,481,298,19,,388,260,103,123,382,45,"2,430",901:46,197,189,,,253,311,0.814,,2019
67,Vermont,America East,15,173,103,276,576,346,13,1,437,241,97,190,372,74,"3,990",904:59,150,189,,,276,326,0.847,1,2019
68,Villanova,Big East,15,170,102,272,613,353,21,,436,222,111,196,393,46,"2,070",902:33,176,175,,,275,316,0.870,2,2019
69,Virginia,ACC,20,282,172,454,908,514,25,2,831,312,186,313,546,88,"4,200",1212:05,205,230,,,287,350,0.820,5,2019
70,VMI,SoCon,13,128,66,194,556,293,8,,420,243,138,136,358,45,"2,100",780:00,188,174,,,275,319,0.862,,2019
71,Wagner,NEC,14,104,54,158,465,261,13,1,375,265,121,146,321,34,"1,680",843:37,169,197,,,240,317,0.757,1,2019
72,Yale,Ivy League,19,296,177,473,"1,001",585,31,1,755,296,137,432,575,71,"3,150",1155:51,216,194,,,288,345,0.835,2,2019
